type,limit,total
physpreset,276,3
physconstraints,159,0
destructibledef,128,0
xanim,25000,2489
xmodel,10240,579
xmodelmesh,34816,937
material,20480,963
computeshaderset,256,0
techset,1024,89
image,49152,1637
sound,32,1
sound_patch,16,0
col_map,2,1
com_map,2,1
game_map,2,1
map_ents,2,1
gfx_map,2,1
lightdef,32,0
lensflaredef,64,0
ui_map,0,0
font,16,0
fonticon,16,0
localize,25600,0
weapon,1536,149
weapondef,0,0
weaponvariant,0,0
weaponfull,0,0
cgmediatable,5,0
playersoundstable,16,0
playerfxtable,16,0
sharedweaponsounds,64,3
attachment,128,0
attachmentunique,2148,0
weaponcamo,512,43
customizationtable,8,0
customizationtable_feimages,8,0
customizationtablecolor,1024,0
snddriverglobals,1,0
fx,1875,210
tagfx,64,1
klf,64,2
impactsfxtable,256,4
impactsoundstable,64,4
player_character,8,0
aitype,96,2
character,150,5
xmodelalias,48,0
rawfile,5000,0
stringtable,200,1
structuredtable,96,0
leaderboarddef,256,0
ddl,64,0
glasses,2,0
texturelist,8,0
scriptparsetree,1024,40
keyvaluepairs,64,1
vehicle,64,0
addon_map_ents,1,0
tracer,100,3
slug,5,0
surfacefxtable,64,7
surfacesounddef,256,20
footsteptable,32,2
entityfximpacts,256,4
entitysoundimpacts,256,11
zbarrier,16,3
vehiclefxdef,32,0
vehiclesounddef,32,0
typeinfo,0,0
scriptbundle,1024,4
scriptbundlelist,64,0
rumble,256,6
bulletpenetration,1,0
locdmgtable,1,0
aimtable,12,1
animselectortable,64,2
animmappingtable,64,2
animstatemachine,64,2
behaviortree,64,2
behaviorstatemachine,128,0
ttf,48,0
sanim,1024,0
lightdescription,500,30
shellshock,64,0
xcam,512,1
bgcache,32,1
texturecombo,16,1
flametable,16,0
bitfield,52,0
attachmentcosmeticvariant,640,11
maptable,25,0
maptableloadingimages,25,0
medal,768,0
medaltable,32,0
objective,256,0
objectivelist,64,0
umbra_tome,0,0
navmesh,2,1
navvolume,2,0
binaryhtml,2048,0
laser,50,0
beam,50,0
streamerhint,50,0
