index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,techset,mc/lit_decal_diffuse_spec_gloss#e6142445,42,0,|mc/mtl_c_gen_gib_gore_leg_thigh_a|material|zone_source/loc/zm_waw_test.zone|csv
3,material,mc/mtl_c_gen_gib_gore_arm_right_a,35,0,|zone_source/loc/zm_waw_test.zone|csv
4,techset,mc/lit_plus#e6142445,22,0,|mc/mtl_c_gen_gib_gore_leg_thigh|material|zone_source/loc/zm_waw_test.zone|csv
5,material,mc/mtl_c_gen_gib_gore_arm_right,33,0,|zone_source/loc/zm_waw_test.zone|csv
6,techset,mc/vegetation#e6142445,24,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
7,material,mc/mtl_gib_chunk_set,22,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
8,physpreset,gib,5,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
9,xmodel,p7_gib_chunk_meat_01,22,0,|zone_source/loc/zm_waw_test.zone|csv
10,techset,mc/lit_transition#e6142445,28,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
11,image,i_c_gen_char_g,16,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
12,image,i_c_gen_gib_stump_ao,101,21864,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
13,image,$gray_32_one_channel,22,0,|mc/mtl_c_gen_gib_gore_leg_thigh|material|zone_source/loc/zm_waw_test.zone|csv
14,image,i_c_gen_char_c,16,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
15,image,i_c_gen_gib_stump_n,292,742760,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
16,image,i_c_gen_gib_stump_g,260,109208,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
17,image,i_c_gen_reveal_1k_rec_horiz_r,286,393216,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
18,image,i_c_gen_gib_stump_c,276,393216,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
19,image,i_c_gen_char_n,16,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_waw_test.zone|csv
20,material,mc/mtl_c_gen_gib_stump,1738,0,|zone_source/loc/zm_waw_test.zone|csv
21,image,$white_reveal,15,0,|mc/mtl_c_gen_gib_gore_leg_thigh_a|material|zone_source/loc/zm_waw_test.zone|csv
22,image,$white_gloss,14,0,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_waw_test.zone|csv
23,image,i_c_gen_gib_alpha_c,116,742760,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_waw_test.zone|csv
24,material,mc/mtl_c_gen_gib_alpha,911,0,|zone_source/loc/zm_waw_test.zone|csv
25,material,mc/mtl_c_gen_gib_gore_leg_thigh,33,0,|zone_source/loc/zm_waw_test.zone|csv
26,material,mc/mtl_c_gen_gib_gore_leg_thigh_a,35,0,|zone_source/loc/zm_waw_test.zone|csv
27,sound,zm_waw_test.en,38,0,||assetlist
28,keyvaluepairs,en_zm_waw_test,6051,0,||assetlist
29,image,i_c_gen_gib_gore_arm_right_c,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_waw_test.zone|csv
30,image,i_c_gen_gib_gore_arm_right_g,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_waw_test.zone|csv
31,image,i_c_gen_gib_gore_arm_right_n,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_waw_test.zone|csv
32,image,$white_ao,11,0,|mc/mtl_c_gen_gib_gore_leg_thigh|material|zone_source/loc/zm_waw_test.zone|csv
33,image,i_mtl_p7_gib_chunk_set_c,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
34,image,i_mtl_p7_gib_chunk_set_n,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
35,image,$thickness_base,17,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
36,xmodelmesh,p7_gib_chunk_meat_01_lod09ae13a73,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
37,xmodelmesh,p7_gib_chunk_meat_01_lod0b1cdd03f,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
38,xmodelmesh,p7_gib_chunk_meat_01_lod0bf6605c,34,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_waw_test.zone|csv
